tt0106062|||7.9|||139
tt0109151|||6.9|||1704
tt0133093|||8.7|||1694977
tt0211096|||2.1|||107
tt0224086|||4.0|||174
tt0234215|||7.2|||520218
tt0242653|||6.8|||451816
tt0273126|||6.5|||22
tt0274085|||7.0|||762
tt0277732|||7.1|||12
tt0277828|||6.9|||3266
tt0295432|||7.3|||3313
tt0303678|||6.5|||1077
tt0328832|||7.4|||71637
tt0333846|||4.4|||5
tt0364888|||6.0|||311
tt0365467|||7.8|||463
tt0389150|||7.9|||14
tt0390244|||6.7|||414
tt0391319|||7.1|||72
tt0395147|||7.0|||80
tt0410519|||7.4|||352
tt0438231|||7.9|||71
tt0439783|||8.1|||416
tt0440616|||5.5|||6
tt0451118|||7.5|||1306
tt0594932|||6.5|||13
tt0594933|||7.7|||15
tt0709003|||8.1|||1269
tt0709004|||8.1|||1326
tt0808030|||7.8|||5
tt0970173|||6.1|||424
