"nm0171861"|||"Peter Collias"|||\N|||\N|||"\"art_department,visual_effects,special_effects\""|||"\"tt0118929,tt0133093,tt1194173,tt0203009\""
"nm0172787"|||"Bill Collis"|||\N|||\N|||"\"editor,editorial_department,visual_effects\""|||"\"tt0831887,tt0133093,tt0438488,tt0458525\""
"nm0173876"|||"Tim Commerford"|||"1968"|||\N|||"\"soundtrack,actor,composer\""|||"\"tt1855199,tt0234215,tt0133093,tt0430357\""
"nm0178844"|||"Toby Copping"|||"1966"|||\N|||"\"camera_department,art_department,visual_effects\""|||"\"tt0118929,tt0133093,tt0234215,tt0448011\""
"nm0182363"|||"Tom Costain"|||"1971"|||\N|||"\"editor,editorial_department,actor\""|||"\"tt4769836,tt0133093,tt1618434,tt0113481\""
"nm0183871"|||"Steve Courtley"|||\N|||\N|||"\"special_effects,art_department\""|||"\"tt0082694,tt0242653,tt0133093,tt0234215\""
"nm0183931"|||"Kathy Courtney"|||\N|||\N|||"make_up_department"|||"\"tt0118929,tt0133093,tt0111010,tt0209368\""
"nm0184800"|||"J.D. Cowles"|||\N|||\N|||"visual_effects"|||"\"tt0118929,tt0480249,tt0133093,tt0145487\""
"nm0184939"|||"Brian Cox"|||\N|||\N|||"\"special_effects,editorial_department,miscellaneous\""|||"\"tt2222042,tt2126355,tt0133093,tt0203009\""
"nm0185053"|||"Helen Cox"|||\N|||\N|||"\"miscellaneous,script_department\""|||"\"tt0187636,tt0120025,tt0133093,tt0413579\""
"nm0185062"|||"James Cox"|||\N|||\N|||"art_department"|||"\"tt0111301,tt0133093,tt2058107,tt0455824\""
"nm0189346"|||"Kate Crossley"|||\N|||\N|||"\"editorial_department,production_manager,visual_effects\""|||"\"tt0479143,tt0296572,tt0133093,tt0120657\""
"nm0189400"|||"Aaron Crothers"|||\N|||\N|||"\"production_designer,art_department,miscellaneous\""|||"\"tt0121765,tt0118929,tt0133093,tt0199753\""
"nm0195418"|||"Michele D'Arcey"|||\N|||\N|||"miscellaneous"|||"\"tt0105488,tt0133093,tt0111309,tt0107046\""
"nm0199520"|||"Jack Dangers"|||"1967"|||\N|||"\"soundtrack,music_department\""|||"\"tt0222568,tt0133093,tt0112887,tt0119809\""
"nm0201685"|||"Geofrey Darrow"|||"1955"|||\N|||"\"animation_department,art_department,writer\""|||"\"tt0234215,tt0133093,tt0811080,tt0242653\""
"nm0202828"|||"Art David"|||\N|||\N|||"\"visual_effects,producer,special_effects\""|||"\"tt0116409,tt0286106,tt0133093,tt0112864\""
"nm0204424"|||"Dane A. Davis"|||\N|||\N|||"\"sound_department,actor,music_department\""|||"\"tt0133240,tt0234215,tt0133093,tt0259324\""
"nm0204485"|||"Don Davis"|||"1957"|||\N|||"\"composer,music_department,soundtrack\""|||"\"tt0234215,tt0242653,tt0133093,tt0163025\""
"nm0209371"|||"Zack De La Rocha"|||"1970"|||\N|||"\"soundtrack,actor,composer\""|||"\"tt0305357,tt0133093,tt0120685,tt0234215\""
"nm0212705"|||"Belinda Dean"|||\N|||\N|||"\"producer,location_management,art_department\""|||"\"tt0242653,tt0134847,tt0133093,tt0234215\""
"nm0218363"|||"Steve Demers"|||\N|||\N|||"visual_effects"|||"\"tt0242653,tt0133093,tt0120737,tt0167261\""
"nm0230117"|||"Steve Dodd"|||"1928"|||"2014"|||"\"actor,composer,sound_department\""|||"\"tt0196279,tt0088518,tt0133093,tt0082432\""
"nm0233391"|||"Matt Doran"|||"1976"|||\N|||"\"actor,cinematographer,director\""|||"\"tt0120863,tt0133093,tt0121765,tt0434541\""
"nm0236473"|||"Peter Doyle"|||\N|||\N|||"\"editorial_department,visual_effects,miscellaneous\""|||"\"tt0120737,tt0118929,tt0133093,tt1631867\""
